an;mois;nation;pecherie;nbrjour
2021;11;Mauritanienne;Peche cotiere cephalopodes;50
2019;10;Mauritanienne;Peche cotiere cephalopodes;45
2019;3;Turque;Peche hauturiere cephalopodes ;41
2021;3;mauritanienne;Peche hauturiere cephalopodes ;41
2020;12;Mauritanienne;Peche cotiere cephalopodes;40
2019;3;mauritanienne;Peche hauturiere cephalopodes ;39
2019;5;Mauritanienne;Peche cotiere cephalopodes;39
2020;7;Mauritanienne;Peche hauturiere cephalopodes ;39
2020;10;Mauritanienne;Peche hauturiere cephalopodes ;38
2020;5;Chinoise;Peche hauturiere cephalopodes ;37
2020;6;Mauritanienne;Peche hauturiere cephalopodes ;36
2019;4;mauritanienne;Peche hauturiere cephalopodes ;29
2019;12;CHINOISE;Peche hauturiere cephalopodes ;29
2019;3;CHINOISE;Peche hauturiere cephalopodes ;27
2019;9;Turque;Peche hauturiere cephalopodes ;27
2021;2;mauritanienne;Peche hauturiere cephalopodes ;27
2019;1;CHINOISE;Peche hauturiere cephalopodes ;26
2019;2;mauritanienne;Peche hauturiere cephalopodes ;26
2019;4;CHINOISE;Peche hauturiere cephalopodes ;26
2021;9;mauritanienne;Peche hauturiere cephalopodes ;26
2019;2;Senegalaise;Peche hauturiere cephalopodes ;25
2019;9;CHINOISE;Peche hauturiere cephalopodes ;25
2019;9;mauritanienne;Peche hauturiere cephalopodes ;25
2019;1;Senegalaise;Peche hauturiere cephalopodes ;24
2019;2;CHINOISE;Peche hauturiere cephalopodes ;23
2020;1;GUINEENNE;Peche hauturiere cephalopodes ;23
2019;1;Indonesienne;Peche hauturiere cephalopodes ;22
2019;8;Turque;Peche hauturiere cephalopodes ;22
2019;12;Guineenne;Peche hauturiere cephalopodes ;22
2019;12;mauritanienne;Peche hauturiere cephalopodes ;22
2021;8;mauritanienne;Peche hauturiere cephalopodes ;22
2019;3;Senegalaise;Peche hauturiere cephalopodes ;21
2019;9;Guineenne;Peche hauturiere cephalopodes ;21
2019;9;Indonesienne;Peche hauturiere cephalopodes ;21
2021;4;mauritanienne;Peche hauturiere cephalopodes ;21
2019;8;CHINOISE;Peche hauturiere cephalopodes ;20
2020;3;GUINEENNE;Peche hauturiere cephalopodes ;20
2020;4;GUINEENNE;Peche hauturiere cephalopodes ;20
2021;12;mauritanienne;Peche hauturiere cephalopodes ;20
2019;1;mauritanienne;Peche hauturiere cephalopodes ;19
2019;1;TURQUE;Peche hauturiere cephalopodes ;18
2019;4;Indonesienne;Peche hauturiere cephalopodes ;18
2020;9;GUINEENNE;Peche hauturiere cephalopodes ;18
2020;12;Chinoise;Peche hauturiere cephalopodes ;18
2019;3;Indonesienne;Peche hauturiere cephalopodes ;17
2019;5;MAURITANIENNE;Peche hauturiere cephalopodes ;17
2019;8;Guineenne;Peche hauturiere cephalopodes ;17
2019;8;mauritanienne;Peche hauturiere cephalopodes ;17
2019;4;TURQUE;Peche hauturiere cephalopodes ;16
2019;7;CHINOISE;Peche hauturiere cephalopodes ;16
2021;6;MAURITANIENNE;Peche hauturiere cephalopodes ;16
2020;8;GUINEENNE;Peche hauturiere cephalopodes ;15
2019;11;Mauritanienne;Peche hauturiere cephalopodes ;14
2020;1;INDONESIENNE;Peche hauturiere cephalopodes ;14
2019;1;Indonesienne;Peche cotiere cephalopodes;13
2019;2;Indonesienne;Peche hauturiere cephalopodes ;13
2019;7;Indonesienne;Peche cotiere cephalopodes;13
2019;7;mauritanienne;Peche hauturiere cephalopodes ;13
2020;11;Mauritanienne;Peche cotiere cephalopodes;12
2019;7;Indonesienne;Peche hauturiere cephalopodes ;11
2020;2;GUINEENNE;Peche hauturiere cephalopodes ;10
2020;5;GUINEENNE;Peche hauturiere cephalopodes ;10
2019;2;TURQUE;Peche hauturiere cephalopodes ;9
